id,date,text,user,location,business_type,likes,shares
227,2024-03-21,The experience was okay overall,user_227,Chennai,food outlet,202,136
228,2024-01-26,Bad quality food and poor hygiene,user_228,Delhi,mall,201,82
229,2024-03-31,Disappointed with product quality,user_229,Mumbai,mall,444,10
230,2024-01-28,Poor customer support and delays,user_230,Mumbai,restaurant,84,132
231,2024-03-17,Super fast delivery and great packaging,user_231,Hyderabad,restaurant,144,150
232,2024-02-26,Disappointed with product quality,user_232,Delhi,restaurant,341,19
233,2024-03-18,Just a regular experience,user_233,Bangalore,retail shop,46,47
234,2024-03-05,Disappointed with product quality,user_234,Hyderabad,food outlet,178,191
235,2024-01-27,Average ambiance and service,user_235,Delhi,cafe,364,49
236,2024-01-29,Awesome ambience and delicious food,user_236,Mumbai,retail shop,121,95
237,2024-03-31,Terrible service and rude staff,user_237,Delhi,food outlet,364,165
238,2024-01-30,Very satisfied with the service provided,user_238,Delhi,mall,324,3
239,2024-01-16,"Loved the food at this restaurant, amazing taste!",user_239,Bangalore,mall,350,122
240,2024-01-19,"Horrible experience, will not return",user_240,Chennai,mall,26,99
241,2024-03-28,"Best place in town, very happy with service",user_241,Chennai,restaurant,357,93
242,2024-03-18,"Horrible experience, will not return",user_242,Bangalore,retail shop,301,120
243,2024-02-12,"Worst experience ever, very disappointed",user_243,Bangalore,restaurant,462,195
244,2024-01-31,Super fast delivery and great packaging,user_244,Hyderabad,mall,390,151
245,2024-02-04,Average ambiance and service,user_245,Mumbai,cafe,25,134
246,2024-03-15,"Loved the food at this restaurant, amazing taste!",user_246,Bangalore,retail shop,303,21
247,2024-03-21,"Best place in town, very happy with service",user_247,Chennai,food outlet,376,186
248,2024-01-04,"Horrible experience, will not return",user_248,Delhi,mall,34,100
249,2024-02-26,Very slow service and bad management,user_249,Mumbai,cafe,443,136
250,2024-03-19,"Loved the food at this restaurant, amazing taste!",user_250,Hyderabad,cafe,315,31
251,2024-01-28,Moderate quality and decent service,user_251,Mumbai,food outlet,241,197
252,2024-03-18,Very satisfied with the service provided,user_252,Chennai,retail shop,494,77
253,2024-02-21,Super fast delivery and great packaging,user_253,Mumbai,food outlet,480,17
254,2024-01-22,"Loved the food at this restaurant, amazing taste!",user_254,Bangalore,cafe,173,103
255,2024-02-27,It was an average visit,user_255,Chennai,restaurant,273,118
256,2024-03-25,Amazing experience shopping here,user_256,Hyderabad,food outlet,151,170
257,2024-02-08,Awful service and dirty place,user_257,Hyderabad,cafe,484,143
258,2024-03-05,Nothing impressive but acceptable,user_258,Chennai,food outlet,446,141
259,2024-02-16,The experience was okay overall,user_259,Mumbai,restaurant,42,116
260,2024-01-23,Moderate quality and decent service,user_260,Hyderabad,food outlet,249,4
261,2024-03-25,"Worst experience ever, very disappointed",user_261,Bangalore,restaurant,323,26
262,2024-03-15,"Excellent quality products, highly recommended",user_262,Bangalore,mall,371,190
263,2024-01-18,"Service was fine, not too good not bad",user_263,Delhi,cafe,457,89
264,2024-01-13,"Best place in town, very happy with service",user_264,Delhi,retail shop,482,184
265,2024-03-26,Bad quality food and poor hygiene,user_265,Mumbai,restaurant,101,46
266,2024-03-05,"Service was fine, not too good not bad",user_266,Bangalore,cafe,336,168
267,2024-03-29,Just a regular experience,user_267,Bangalore,mall,337,126
268,2024-02-20,"The place is okay, average experience",user_268,Bangalore,restaurant,402,36
269,2024-03-27,"The place is okay, average experience",user_269,Delhi,mall,28,112
270,2024-01-22,It was an average visit,user_270,Bangalore,restaurant,444,93
271,2024-01-22,Nothing impressive but acceptable,user_271,Hyderabad,restaurant,200,143
272,2024-01-26,Disappointed with product quality,user_272,Mumbai,cafe,418,26
273,2024-02-14,Great service and friendly staff at the cafe,user_273,Mumbai,retail shop,284,143
274,2024-01-22,Nothing impressive but acceptable,user_274,Hyderabad,retail shop,257,77
275,2024-03-28,The experience was okay overall,user_275,Hyderabad,mall,365,80
276,2024-03-10,Just a regular experience,user_276,Chennai,cafe,317,130
277,2024-02-24,"Best place in town, very happy with service",user_277,Chennai,food outlet,315,16
278,2024-01-02,Terrible service and rude staff,user_278,Bangalore,retail shop,383,70
279,2024-03-05,"Service was fine, not too good not bad",user_279,Hyderabad,restaurant,71,186
280,2024-02-17,"The place is okay, average experience",user_280,Chennai,food outlet,450,143
281,2024-03-04,"Food is normal, nothing special",user_281,Bangalore,mall,246,8
282,2024-02-10,"Waste of money, not recommended",user_282,Mumbai,mall,363,57
283,2024-02-20,"Fantastic experience, will visit again",user_283,Hyderabad,cafe,256,61
284,2024-01-27,"Service was fine, not too good not bad",user_284,Hyderabad,food outlet,418,12
285,2024-03-20,Not worth the price at all,user_285,Hyderabad,food outlet,397,4
286,2024-01-11,"Loved the food at this restaurant, amazing taste!",user_286,Bangalore,restaurant,130,196
287,2024-02-14,Average ambiance and service,user_287,Chennai,retail shop,280,82
288,2024-03-22,Awful service and dirty place,user_288,Bangalore,cafe,364,74
289,2024-01-27,Bad quality food and poor hygiene,user_289,Delhi,food outlet,324,34
290,2024-01-31,Very satisfied with the service provided,user_290,Delhi,food outlet,189,60
291,2024-02-19,"Excellent quality products, highly recommended",user_291,Hyderabad,retail shop,34,200
292,2024-02-24,"Waste of money, not recommended",user_292,Hyderabad,cafe,195,25
293,2024-01-12,"Excellent quality products, highly recommended",user_293,Chennai,cafe,175,77
294,2024-02-20,Average ambiance and service,user_294,Chennai,mall,158,68
295,2024-03-30,Terrible service and rude staff,user_295,Delhi,restaurant,270,176
296,2024-01-24,Just a regular experience,user_296,Hyderabad,mall,378,117
297,2024-01-31,"The place is okay, average experience",user_297,Mumbai,retail shop,152,134
298,2024-01-14,Not worth the price at all,user_298,Chennai,restaurant,499,187
299,2024-03-01,It was an average visit,user_299,Hyderabad,retail shop,128,119
300,2024-02-23,"Loved the food at this restaurant, amazing taste!",user_300,Bangalore,mall,27,153
301,2024-02-19,Not worth the price at all,user_301,Bangalore,retail shop,267,36
302,2024-01-12,Bad quality food and poor hygiene,user_302,Hyderabad,restaurant,81,57
303,2024-03-05,Very slow service and bad management,user_303,Bangalore,mall,250,144
304,2024-02-17,Perfect place for family dinner,user_304,Bangalore,retail shop,114,12
305,2024-02-29,"The place is okay, average experience",user_305,Mumbai,food outlet,381,95
306,2024-03-11,"Fantastic experience, will visit again",user_306,Chennai,mall,15,163
307,2024-03-05,Disappointed with product quality,user_307,Delhi,restaurant,403,119
308,2024-02-24,It was an average visit,user_308,Chennai,food outlet,178,38
309,2024-03-06,"Food is normal, nothing special",user_309,Mumbai,retail shop,350,13
310,2024-01-03,"Horrible experience, will not return",user_310,Chennai,retail shop,371,8
311,2024-03-19,Super fast delivery and great packaging,user_311,Bangalore,mall,423,126
312,2024-03-22,Great service and friendly staff at the cafe,user_312,Chennai,cafe,490,72
313,2024-01-15,It was an average visit,user_313,Mumbai,retail shop,317,115
314,2024-03-08,"Fantastic experience, will visit again",user_314,Hyderabad,restaurant,266,162
315,2024-03-24,"Food is normal, nothing special",user_315,Delhi,mall,138,25
316,2024-02-28,Moderate quality and decent service,user_316,Mumbai,mall,179,24
317,2024-02-06,Moderate quality and decent service,user_317,Mumbai,restaurant,98,151
318,2024-03-17,Amazing experience shopping here,user_318,Delhi,cafe,125,82
319,2024-02-17,Poor customer support and delays,user_319,Hyderabad,restaurant,153,22
320,2024-02-26,"Food is normal, nothing special",user_320,Delhi,retail shop,64,7
321,2024-02-17,Bad quality food and poor hygiene,user_321,Delhi,restaurant,379,30
322,2024-01-13,"Horrible experience, will not return",user_322,Hyderabad,restaurant,210,43
323,2024-03-03,Bad quality food and poor hygiene,user_323,Delhi,restaurant,270,60
324,2024-01-13,Moderate quality and decent service,user_324,Bangalore,restaurant,61,94
325,2024-01-26,Disappointed with product quality,user_325,Chennai,retail shop,243,178
326,2024-01-16,Nothing impressive but acceptable,user_326,Mumbai,restaurant,400,133
327,2024-03-31,"Food is normal, nothing special",user_327,Chennai,cafe,72,189
328,2024-01-19,Amazing experience shopping here,user_328,Delhi,food outlet,419,120
329,2024-01-23,"Worst experience ever, very disappointed",user_329,Chennai,mall,19,34
330,2024-03-05,Just a regular experience,user_330,Delhi,food outlet,179,187
331,2024-03-20,Not worth the price at all,user_331,Delhi,retail shop,477,18
332,2024-02-20,"It was fine, nothing memorable",user_332,Chennai,cafe,338,72
333,2024-03-02,Very satisfied with the service provided,user_333,Hyderabad,food outlet,25,31
334,2024-02-06,Awful service and dirty place,user_334,Mumbai,cafe,71,163
335,2024-03-07,"Service was fine, not too good not bad",user_335,Bangalore,food outlet,206,11
336,2024-01-10,Awful service and dirty place,user_336,Bangalore,cafe,143,117
337,2024-03-24,Moderate quality and decent service,user_337,Mumbai,cafe,43,143
338,2024-03-23,Very satisfied with the service provided,user_338,Hyderabad,mall,300,187
339,2024-01-16,"Loved the food at this restaurant, amazing taste!",user_339,Mumbai,restaurant,276,86
340,2024-01-11,"Waste of money, not recommended",user_340,Bangalore,restaurant,74,134
341,2024-02-03,It was an average visit,user_341,Hyderabad,mall,110,121
342,2024-01-24,"It was fine, nothing memorable",user_342,Bangalore,mall,375,24
343,2024-02-05,Bad quality food and poor hygiene,user_343,Mumbai,retail shop,341,101
344,2024-02-29,Awesome ambience and delicious food,user_344,Bangalore,food outlet,464,175
345,2024-01-14,Awful service and dirty place,user_345,Bangalore,restaurant,298,199
346,2024-02-21,Bad quality food and poor hygiene,user_346,Chennai,retail shop,203,67
347,2024-01-19,"Worst experience ever, very disappointed",user_347,Bangalore,mall,108,23
348,2024-02-22,"Food is normal, nothing special",user_348,Chennai,food outlet,158,152
349,2024-02-27,Average ambiance and service,user_349,Bangalore,mall,264,14
350,2024-01-14,Disappointed with product quality,user_350,Bangalore,food outlet,440,42
351,2024-03-21,Moderate quality and decent service,user_351,Hyderabad,retail shop,247,142
352,2024-03-02,It was an average visit,user_352,Delhi,cafe,411,98
353,2024-02-11,"Service was fine, not too good not bad",user_353,Bangalore,cafe,291,165
354,2024-03-09,Bad quality food and poor hygiene,user_354,Delhi,food outlet,170,118
355,2024-02-06,Great service and friendly staff at the cafe,user_355,Hyderabad,mall,68,0
356,2024-02-28,Perfect place for family dinner,user_356,Delhi,cafe,239,88
357,2024-02-24,Disappointed with product quality,user_357,Mumbai,restaurant,87,95
